name,Nombre_liga,Equipo,Pais,Edad,Posicion,Altura,Peso,Partidos_completos,Medio_tiempo,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,rating,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,shotsPerGame_y,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,passSuccess_y,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad
Faycal Fajr,LaLiga,Getafe,ma,31,Midfielder,178,72,4,0,314,0,0,2,0,1.8,70.5,0,2.0,6.47,0.3,0.3,0.8,0.0,0.0,0.5,0.0,0,1.8,1.5,0.0,0.8,0.0,0.5,1.0,28.0,70.5,1.3,5.0,0.0
Francisco Portillo,LaLiga,Getafe,es,29,Midfielder,169,60,2,9,280,0,1,1,0,0.3,73.3,0,0.2,6.42,0.7,0.1,0.7,0.0,0.3,0.6,0.0,0,0.3,0.6,0.8,0.3,0.0,0.5,0.8,10.9,73.3,0.1,0.3,0.2
Enric Gallego,LaLiga,Getafe,es,33,Forward,190,79,2,3,162,0,0,0,0,0.6,49.0,0,2.4,6.29,0.6,0.4,0.8,0.0,0.2,0.4,0.0,0,0.6,0.0,0.2,0.4,0.0,0.6,1.4,9.8,49.0,0.0,0.2,0.0
Vitorino Antunes,LaLiga,Getafe,pt,32,Defender,176,70,0,1,5,0,0,0,0,0.0,0.0,0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markel Bergara,LaLiga,Getafe,es,33,Midfielder,180,74,0,2,70,0,0,2,0,0.5,56.3,0,0.5,6.02,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,8.0,56.3,0.0,0.0,0.0
Hugo Duro,LaLiga,Getafe,es,20,Forward,177,70,1,1,71,0,0,1,0,1.0,69.2,0,0.5,6.0,0.5,0.0,2.5,0.0,0.5,0.5,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.5,69.2,0.0,0.0,0.0
Bruno González,LaLiga,Getafe,es,29,Defender,185,83,2,0,180,0,0,1,0,0.0,84.6,0,1.5,5.85,1.5,0.0,3.0,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,32.5,84.6,0.0,2.0,0.0
Stefan Savic,LaLiga,Atletico Madrid,me,28,Defender,187,81,6,0,540,0,0,1,0,0.3,84.5,2,3.2,7.27,1.8,1.0,1.0,0.7,5.5,0.2,1.0,0,0.3,0.2,0.2,0.7,0.0,0.0,0.2,45.2,84.5,0.0,3.8,0.0
Saúl Ñíguez,LaLiga,Atletico Madrid,es,25,Defender,184,76,16,0,1440,2,0,5,0,1.3,79.3,2,3.9,7.19,2.1,1.3,2.1,0.1,2.0,1.1,0.3,0,1.3,0.4,0.8,0.8,0.3,0.8,1.1,46.9,79.3,0.1,2.4,0.1
Kieran Trippier,LaLiga,Atletico Madrid,gb,29,Defender,178,71,13,1,1136,0,2,1,0,0.2,75.2,0,1.6,7.15,2.3,1.1,0.9,0.1,1.6,0.8,0.2,0,0.2,1.8,0.7,0.5,0.1,0.4,1.1,38.3,75.2,1.6,1.4,0.1
Santiago Arias,LaLiga,Atletico Madrid,co,27,Defender,178,72,4,1,395,0,1,0,0,0.4,82.0,0,0.8,7.09,2.6,1.0,0.6,0.0,0.8,0.2,0.4,0,0.4,1.2,0.2,1.6,0.0,0.4,0.0,35.6,82.0,0.4,0.6,0.0
Álvaro Morata,LaLiga,Atletico Madrid,es,27,Attacker,190,84,11,3,977,6,1,2,1,2.9,68.3,1,4.3,7.03,0.8,0.3,2.4,0.0,0.6,0.4,0.1,0,2.9,1.1,0.7,2.4,1.5,1.5,2.3,15.6,68.3,0.1,0.1,0.1
José Giménez,LaLiga,Atletico Madrid,uy,24,Defender,185,80,9,0,810,0,0,0,0,0.7,86.5,0,2.7,7.0,1.6,1.4,0.6,0.1,3.2,0.2,0.2,0,0.7,0.0,0.3,0.9,0.1,0.1,0.6,45.1,86.5,0.0,3.4,0.0
Felipe,LaLiga,Atletico Madrid,br,30,Defender,190,83,11,1,991,0,0,4,0,0.8,77.0,0,3.2,6.92,1.1,1.4,1.4,0.3,4.4,0.3,0.6,0,0.8,0.3,0.2,0.8,0.1,0.1,0.4,36.9,77.0,0.0,2.0,0.0
Thomas Partey,LaLiga,Atletico Madrid,gh,26,Defender,185,77,12,3,1047,1,0,6,0,0.5,84.2,0,1.1,6.92,1.8,1.1,1.4,0.0,1.1,0.7,0.1,0,0.5,0.7,1.6,0.8,0.0,0.5,0.7,46.5,84.2,0.1,2.7,0.0
Koke,LaLiga,Atletico Madrid,es,27,Midfielder,176,77,16,1,1435,1,1,2,0,0.8,84.1,0,0.8,6.87,1.9,1.1,0.4,0.1,0.5,1.9,0.3,0,0.8,2.0,0.2,1.0,0.1,0.9,1.8,51.7,84.1,0.8,1.2,0.1
Héctor Herrera,LaLiga,Atletico Madrid,mx,29,Midfielder,185,80,6,4,552,0,1,0,0,0.8,89.5,0,1.1,6.78,2.1,1.1,0.7,0.0,0.4,0.9,0.3,0,0.8,0.5,0.8,0.6,0.1,1.1,0.6,35.2,89.5,0.0,0.9,0.1
Ángel Correa,LaLiga,Atletico Madrid,ar,24,Attacker,171,70,7,5,699,1,4,5,0,1.4,78.5,1,0.4,6.76,1.1,0.2,0.9,0.0,0.8,0.8,0.3,0,1.4,1.1,1.3,0.9,0.4,1.5,1.9,15.5,78.5,0.3,0.3,0.2
Vitolo,LaLiga,Atletico Madrid,es,30,Midfielder,185,80,5,7,543,2,1,2,0,1.0,82.3,0,0.5,6.75,0.7,0.7,0.9,0.0,0.2,0.6,0.0,0,1.0,0.5,1.8,1.0,0.2,0.7,1.8,18.8,82.3,0.1,0.5,0.2
Renan Lodi,LaLiga,Atletico Madrid,br,21,Defender,173,68,12,2,1030,1,1,1,1,0.8,82.5,1,1.1,6.74,1.9,1.0,1.2,0.1,1.5,0.5,0.2,0,0.8,0.6,0.5,1.4,0.2,0.6,1.1,26.1,82.5,0.6,1.1,0.1
Mario Hermoso,LaLiga,Atletico Madrid,es,24,Defender,184,75,10,2,870,0,0,2,0,0.2,79.3,0,1.3,6.63,0.8,0.9,1.1,0.1,3.8,0.5,0.3,0,0.2,0.1,0.5,0.6,0.2,0.1,0.3,35.5,79.3,0.0,3.9,0.0
João Félix,LaLiga,Atletico Madrid,pt,20,Attacker,181,70,12,1,914,2,1,2,0,2.7,77.9,0,1.0,6.62,0.2,0.5,1.4,0.0,0.2,0.5,0.0,0,2.7,0.5,0.7,1.9,0.3,0.8,1.9,17.4,77.9,0.2,0.1,0.0
Diego Costa,LaLiga,Atletico Madrid,es,31,Forward,188,83,8,3,757,2,2,2,0,1.3,67.2,1,2.8,6.57,0.3,0.1,1.2,0.1,0.3,0.5,0.1,0,1.3,0.8,0.6,1.0,1.0,1.0,2.0,15.8,67.2,0.0,0.5,0.0
Jan Oblak,LaLiga,Atletico Madrid,si,26,GoalKeeper,188,87,17,0,1506,0,0,0,0,0.0,53.0,0,0.1,6.54,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,21.8,53.0,0.0,6.9,0.0
Manuel Sánchez,LaLiga,Atletico Madrid,,19,Defender,179,70,1,0,63,0,0,1,0,0.0,84.6,0,0.0,6.46,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,84.6,1.0,0.0,0.0
Thomas Lemar,LaLiga,Atletico Madrid,fr,24,Attacker,171,63,8,6,711,0,0,1,0,0.5,83.3,0,0.4,6.44,0.6,0.3,0.4,0.0,0.1,0.4,0.1,0,0.5,0.4,1.2,0.5,0.0,0.9,1.6,20.1,83.3,0.6,0.5,0.0
Darío Poveda,LaLiga,Atletico Madrid,es,22,Forward,185,75,0,1,7,0,0,0,0,1.0,60.0,0,3.0,6.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,60.0,0.0,0.0,0.0
Marcos Llorente,LaLiga,Atletico Madrid,es,24,Defender,184,74,3,8,312,0,0,4,0,0.2,81.7,0,0.5,6.17,0.6,0.4,0.5,0.0,0.2,0.2,0.3,0,0.2,0.0,0.2,0.3,0.0,0.1,0.1,13.9,81.7,0.0,0.5,0.0
Antonio Adán,LaLiga,Atletico Madrid,es,32,GoalKeeper,190,93,0,1,24,0,0,0,0,0.0,60.0,0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0,1.0,0.0
Rodrigo Riquelme,LaLiga,Atletico Madrid,es,19,Midfielder,174,0,0,1,12,0,0,0,0,1.0,50.0,0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0
Martin Ødegaard,LaLiga,Real Sociedad,no,20,Attacker,178,68,15,0,1350,3,4,3,0,1.9,84.7,3,0.3,7.47,1.1,0.5,1.3,0.1,0.1,1.1,0.0,0,1.9,2.9,2.7,1.4,0.0,1.2,1.9,56.8,84.7,1.3,1.9,0.3
Mikel Merino,LaLiga,Real Sociedad,es,23,Midfielder,188,83,16,1,1455,2,1,3,0,1.2,77.5,1,5.1,7.34,2.1,1.5,2.2,0.1,1.3,1.4,0.2,0,1.2,1.0,1.0,2.5,0.0,1.8,1.6,53.2,77.5,0.2,2.5,0.0
Mikel Oyarzabal,LaLiga,Real Sociedad,es,22,Attacker,181,78,17,0,1465,6,4,2,0,2.1,72.8,3,1.4,7.29,1.3,0.6,1.5,0.0,0.7,0.8,0.1,0,2.1,1.4,2.5,1.5,0.4,1.7,3.1,27.9,72.8,0.4,1.5,0.1
Miguel Ángel Moyá,LaLiga,Real Sociedad,es,35,GoalKeeper,188,83,7,0,630,0,0,0,0,0.0,76.0,0,0.3,6.89,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,34.6,76.0,0.0,8.9,0.0
Andoni Gorosabel,LaLiga,Real Sociedad,,23,Defender,174,73,3,0,238,0,0,0,0,0.0,72.7,0,1.7,6.86,2.3,1.0,1.0,0.3,1.3,1.0,0.3,0,0.0,0.7,0.7,1.7,0.0,1.3,1.7,42.7,72.7,1.0,1.7,0.0
Joseba Zaldua,LaLiga,Real Sociedad,es,27,Defender,176,70,14,1,1253,0,1,5,0,0.3,76.5,0,1.9,6.74,1.5,1.1,0.8,0.5,2.2,0.6,0.2,1,0.3,0.5,0.6,2.1,0.1,0.3,0.5,39.2,76.5,0.9,1.1,0.0
Portu,LaLiga,Real Sociedad,es,27,Attacker,178,70,12,4,1175,4,4,3,0,1.1,73.4,2,0.6,6.73,0.6,0.1,1.2,0.0,0.1,0.6,0.1,0,1.1,1.2,0.3,0.9,0.7,0.6,1.9,16.0,73.4,0.9,0.1,0.0
Diego Llorente,LaLiga,Real Sociedad,es,26,Defender,186,75,14,0,1179,0,1,1,1,0.3,87.1,0,2.8,6.7,1.1,1.1,0.7,0.9,3.8,0.3,0.3,0,0.3,0.2,0.3,0.7,0.1,0.1,0.7,59.4,87.1,0.0,3.1,0.0
Ander Guevara,LaLiga,Real Sociedad,es,22,Defender,180,73,5,1,412,0,0,1,0,0.3,85.3,1,1.2,6.68,2.0,0.7,2.0,0.0,0.7,1.2,0.2,0,0.3,0.8,0.8,0.2,0.0,0.5,0.3,53.2,85.3,0.0,2.2,0.0
Robin Le Normand,LaLiga,Real Sociedad,fr,23,Defender,187,80,8,3,783,1,0,5,0,0.5,90.4,0,1.9,6.68,1.2,0.5,1.4,0.8,2.9,0.4,0.4,0,0.5,0.0,0.0,0.6,0.0,0.0,0.1,53.8,90.4,0.0,3.4,0.0
Igor Zubeldia,LaLiga,Real Sociedad,es,22,Defender,180,79,14,1,1292,0,0,3,0,0.5,88.6,0,2.1,6.67,1.0,0.7,1.6,0.3,2.9,0.7,0.7,0,0.5,0.1,0.8,0.9,0.0,0.5,0.7,58.3,88.6,0.0,3.1,0.0
Nacho Monreal,LaLiga,Real Sociedad,es,33,Defender,179,72,14,0,1260,1,0,1,0,0.8,84.1,0,1.5,6.67,1.2,1.6,1.5,0.1,2.1,0.6,0.1,0,0.8,0.4,0.2,0.4,0.1,0.2,1.0,39.0,84.1,0.6,0.9,0.0
Aritz Elustondo,LaLiga,Real Sociedad,es,25,Defender,180,71,7,1,555,0,0,0,0,0.1,80.2,0,2.6,6.66,2.1,0.8,0.3,0.3,2.9,1.0,0.5,0,0.1,0.1,0.0,0.3,0.0,0.0,0.4,37.3,80.2,0.0,2.4,0.0
Asier Illarramendi,LaLiga,Real Sociedad,es,29,Midfielder,179,75,3,0,217,0,0,0,0,0.3,91.7,0,1.3,6.62,0.7,1.7,0.7,0.0,2.0,1.3,0.3,0,0.3,0.3,0.0,1.0,0.0,0.0,0.7,60.0,91.7,0.0,3.3,0.0
Willian José,LaLiga,Real Sociedad,br,28,Forward,189,93,14,3,1072,7,0,2,0,1.9,75.6,0,1.1,6.62,0.2,0.0,0.9,0.1,0.4,0.2,0.1,0,1.9,0.4,0.1,0.5,0.4,0.8,1.1,14.7,75.6,0.0,0.5,0.1
Álex Remiro,LaLiga,Real Sociedad,es,24,GoalKeeper,191,79,10,0,900,0,0,0,0,0.1,77.5,0,0.2,6.57,0.0,0.0,0.0,0.0,1.3,0.1,0.0,0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,35.1,77.5,0.0,7.4,0.0
Adnan Januzaj,LaLiga,Real Sociedad,be,24,Attacker,186,76,5,5,428,0,3,0,0,1.1,72.5,0,0.4,6.53,0.4,0.2,0.5,0.0,0.1,0.6,0.0,0,1.1,0.8,1.0,1.4,0.1,0.7,1.6,15.3,72.5,0.4,1.4,0.2
Luca Sangalli,LaLiga,Real Sociedad,es,24,Attacker,167,74,2,4,187,0,0,0,0,1.0,78.8,0,0.7,6.36,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,1.0,0.7,0.7,0.7,0.0,0.3,0.3,18.8,78.8,0.3,0.5,0.2
Alexander Isak,LaLiga,Real Sociedad,se,20,Forward,190,70,3,14,549,3,0,2,0,0.9,76.8,0,0.5,6.28,0.1,0.2,0.5,0.1,0.2,0.1,0.0,0,0.9,0.1,0.3,0.2,0.5,1.2,1.2,5.6,76.8,0.1,0.0,0.1
Aihen Muñoz,LaLiga,Real Sociedad,es,22,Defender,175,72,3,0,265,0,0,0,0,0.0,83.9,0,1.0,6.26,2.0,0.0,0.0,0.0,0.7,0.3,0.0,0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,49.7,83.9,0.3,0.0,0.0
Kévin Rodrigues,LaLiga,Real Sociedad,pt,25,Defender,170,70,0,1,5,0,0,0,0,1.0,66.7,0,1.0,6.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,66.7,0.0,0.0,0.0
David Zurutuza,LaLiga,Real Sociedad,es,33,Midfielder,186,79,1,3,92,0,0,0,0,0.0,73.6,0,0.8,6.2,0.8,0.8,0.3,0.0,0.8,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,13.3,73.6,0.0,0.5,0.0
Ander Barrenetxea,LaLiga,Real Sociedad,,17,Forward,178,0,0,7,42,0,0,0,0,0.0,68.2,0,0.0,6.04,0.3,0.1,0.6,0.0,0.1,0.3,0.0,0,0.0,0.3,0.4,0.1,0.0,0.3,0.1,3.1,68.2,0.1,0.0,0.0
Raúl García,LaLiga,Athletic Bilbao,es,33,Midfielder,184,83,16,0,1384,5,1,6,0,2.4,56.0,2,6.5,7.18,1.4,0.6,2.8,0.2,1.4,1.4,0.1,0,2.4,0.8,0.3,1.6,0.6,0.4,1.9,28.8,56.0,0.2,0.9,0.0
Yuri,LaLiga,Athletic Bilbao,es,29,Defender,181,79,15,0,1350,2,0,1,0,1.1,82.6,1,1.8,7.13,1.6,0.9,1.1,0.4,2.0,0.3,0.1,0,1.1,0.5,1.5,1.9,0.0,0.9,1.7,38.3,82.6,0.5,2.6,0.1
Yeray Álvarez,LaLiga,Athletic Bilbao,es,24,Defender,182,78,15,0,1350,0,0,2,0,0.4,79.6,0,3.4,7.06,0.9,2.0,0.7,0.7,3.9,0.4,0.5,0,0.4,0.1,0.3,1.0,0.0,0.3,0.5,46.4,79.6,0.1,3.7,0.0
Iker Muniain,LaLiga,Athletic Bilbao,es,26,Attacker,170,65,12,1,1097,4,0,0,0,1.1,85.6,1,0.5,7.05,0.7,0.6,0.5,0.0,0.3,0.6,0.0,0,1.1,1.5,1.8,2.0,0.2,1.5,1.3,31.1,85.6,0.2,1.2,0.0
Íñigo Martínez,LaLiga,Athletic Bilbao,es,28,Defender,182,76,15,0,1350,0,0,2,0,1.1,79.1,0,3.6,6.98,1.1,1.5,0.8,0.7,3.8,0.3,0.4,1,1.1,0.3,0.2,1.3,0.1,0.1,0.4,45.4,79.1,0.3,6.9,0.0
Ander Capa,LaLiga,Athletic Bilbao,es,27,Defender,175,75,17,0,1504,1,4,5,0,0.6,74.6,2,1.4,6.94,2.1,0.9,1.4,0.1,1.9,1.1,0.2,0,0.6,0.7,1.2,0.6,0.2,0.9,1.4,36.1,74.6,0.4,1.3,0.0
Iñaki Williams,LaLiga,Athletic Bilbao,es,25,Attacker,186,78,17,0,1467,4,0,2,0,1.2,74.4,1,1.6,6.84,0.3,0.2,0.7,0.0,1.0,0.4,0.0,0,1.2,1.0,1.5,1.0,0.6,1.6,2.5,17.2,74.4,0.5,0.3,0.0
Dani García,LaLiga,Athletic Bilbao,es,29,Defender,180,81,17,0,1530,0,0,4,0,0.4,82.3,1,2.1,6.79,2.2,1.4,1.5,0.0,1.8,1.6,0.2,0,0.4,0.4,0.2,1.2,0.0,0.4,0.3,41.2,82.3,0.0,4.5,0.0
Unai Núñez,LaLiga,Athletic Bilbao,es,22,Defender,186,80,4,1,405,0,0,2,0,0.4,78.6,0,3.0,6.76,0.6,1.0,1.2,0.6,4.6,0.2,0.8,0,0.4,0.2,0.4,0.0,0.0,0.2,0.0,49.6,78.6,0.0,6.8,0.0
Unai López,LaLiga,Athletic Bilbao,es,24,Midfielder,170,68,13,0,926,0,3,3,0,1.1,84.6,0,0.9,6.75,1.0,0.7,1.5,0.0,0.6,1.4,0.0,0,1.1,1.3,0.5,0.8,0.1,1.0,0.8,41.1,84.6,1.3,3.2,0.0
Unai Simón,LaLiga,Athletic Bilbao,es,22,GoalKeeper,190,88,16,0,1440,0,0,2,0,0.0,59.0,1,0.4,6.72,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,27.4,59.0,0.0,10.4,0.0
Kenan Kodro,LaLiga,Athletic Bilbao,ba,26,Forward,190,80,1,2,136,1,0,0,0,0.3,60.9,0,2.0,6.51,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0,0.3,0.0,0.3,1.0,0.0,0.3,0.0,7.7,60.9,0.0,0.3,0.0
Ibai Gómez,LaLiga,Athletic Bilbao,es,30,Attacker,177,72,3,6,401,0,0,0,0,1.1,73.2,0,0.0,6.46,0.3,0.3,0.1,0.0,0.2,0.3,0.0,0,1.1,1.1,0.4,0.2,0.1,0.8,1.0,14.1,73.2,1.6,0.3,0.0
Oihan Sancet,LaLiga,Athletic Bilbao,,19,Midfielder,188,73,3,2,263,0,1,1,0,1.0,80.3,0,1.0,6.46,0.8,0.0,1.0,0.0,0.0,0.2,0.0,0,1.0,0.8,1.0,0.8,0.0,1.8,2.0,13.2,80.3,0.0,0.4,0.0
Beñat Etxebarria,LaLiga,Athletic Bilbao,es,32,Midfielder,176,75,2,6,314,0,0,0,0,0.5,84.8,0,0.5,6.4,0.5,0.4,0.3,0.0,0.4,1.1,0.1,0,0.5,1.3,0.0,0.3,0.0,0.4,0.4,19.8,84.8,1.4,1.5,0.0
Mikel San José,LaLiga,Athletic Bilbao,es,30,Defender,188,78,2,6,266,0,0,2,0,0.5,70.8,0,1.4,6.37,0.8,0.8,0.5,0.0,1.1,0.6,0.0,0,0.5,0.1,0.0,0.1,0.1,0.4,0.4,13.3,70.8,0.0,0.5,0.0
Iago Herrerín,LaLiga,Athletic Bilbao,es,31,GoalKeeper,187,88,1,0,90,0,0,0,0,0.0,57.1,0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,57.1,0.0,10.0,0.0
Iñigo Córdoba,LaLiga,Athletic Bilbao,es,22,Attacker,180,76,11,1,699,0,1,3,0,1.1,75.6,0,0.7,6.36,1.2,0.5,1.4,0.0,0.1,1.4,0.2,0,1.1,0.5,0.5,0.9,0.3,0.8,1.8,16.8,75.6,0.2,0.3,0.0
Mikel Balenziaga,LaLiga,Athletic Bilbao,es,31,Defender,177,76,2,0,180,0,0,1,0,0.0,88.9,0,0.0,6.3,1.5,0.0,0.5,0.0,1.5,0.0,0.0,0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,31.5,88.9,0.0,1.5,0.0
Mikel Vesga,LaLiga,Athletic Bilbao,es,26,Defender,191,83,1,1,105,0,0,0,0,0.5,79.5,0,2.0,6.28,0.0,1.0,2.0,0.0,1.5,1.5,0.5,0,0.5,0.0,0.0,0.0,0.0,0.5,1.5,19.5,79.5,0.0,0.5,0.0
Íñigo Lekue,LaLiga,Athletic Bilbao,es,26,Defender,180,70,0,4,52,0,1,0,0,0.0,77.3,0,0.0,6.21,0.5,0.0,0.8,0.0,0.3,0.0,0.0,0,0.0,0.3,0.5,0.3,0.0,0.8,0.3,5.5,77.3,0.3,0.3,0.0
Asier Villalibre,LaLiga,Athletic Bilbao,es,22,Forward,184,86,0,2,29,0,0,0,0,0.0,71.4,0,2.0,6.19,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,3.5,71.4,0.0,0.0,0.0
Gaizka Larrazabal,LaLiga,Athletic Bilbao,es,21,Midfielder,180,81,1,7,171,0,0,0,0,0.4,61.9,0,0.5,6.16,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0,0.4,0.1,0.3,0.4,0.1,0.4,0.8,5.3,61.9,0.4,0.1,0.0
Aritz Aduriz,LaLiga,Athletic Bilbao,es,38,Forward,181,77,0,10,138,1,0,2,0,0.2,65.8,0,1.3,6.16,0.3,0.0,0.6,0.0,0.2,0.0,0.0,0,0.2,0.0,0.0,0.1,0.0,0.2,0.6,3.8,65.8,0.0,0.1,0.0
Óscar De Marcos,LaLiga,Athletic Bilbao,es,30,Defender,182,77,3,1,191,0,0,0,0,0.0,64.8,0,1.0,6.12,0.0,0.0,0.3,0.0,0.0,0.8,0.0,0,0.0,0.0,0.0,0.8,0.5,0.3,0.5,13.5,64.8,0.5,0.0,0.0
Daniel Parejo,LaLiga,Valencia,es,30,Midfielder,182,74,15,0,1350,6,2,3,0,1.4,86.1,4,0.3,7.3,1.7,0.8,0.8,0.0,0.5,2.4,0.2,0,1.4,1.9,1.3,2.9,0.1,1.2,0.9,64.1,86.1,1.9,7.5,0.1
Jaume Doménech,LaLiga,Valencia,es,29,GoalKeeper,185,73,2,1,243,0,0,0,0,0.0,61.1,0,0.3,7.11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,61.1,0.0,6.0,0.0
Rodrigo Moreno,LaLiga,Valencia,es,28,Midfielder,182,77,13,1,999,2,6,2,1,1.6,78.8,0,1.1,7.0,0.6,0.1,0.7,0.0,0.4,0.9,0.1,0,1.6,1.4,0.9,1.5,0.2,1.1,1.8,23.9,78.8,0.4,1.2,0.2
Maxi Gómez,LaLiga,Valencia,uy,23,Forward,186,91,10,5,958,6,1,2,0,1.1,64.1,2,2.6,6.89,0.3,0.2,1.1,0.0,0.5,0.2,0.0,0,1.1,0.5,0.3,2.0,1.0,0.5,1.7,10.2,64.1,0.0,0.7,0.1
Jaume Costa,LaLiga,Valencia,es,31,Defender,171,62,9,2,801,0,0,1,0,0.2,82.9,0,1.2,6.83,1.7,1.3,0.9,0.2,2.0,0.5,0.4,0,0.2,0.5,0.8,1.3,0.0,0.3,0.6,34.5,82.9,0.2,1.1,0.0
Ferrán Torres,LaLiga,Valencia,es,19,Midfielder,184,77,11,4,932,3,2,2,0,1.1,80.7,1,1.1,6.77,0.8,0.5,0.9,0.0,0.1,0.7,0.1,0,1.1,0.4,1.4,1.2,0.3,0.8,1.3,16.9,80.7,0.2,0.3,0.0
Jasper Cillessen,LaLiga,Valencia,nl,30,GoalKeeper,185,83,14,0,1197,0,1,1,0,0.0,56.7,1,0.3,6.76,0.0,0.1,0.0,0.0,0.6,0.1,0.0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,23.3,56.7,0.0,4.6,0.0
Gonçalo Guedes,LaLiga,Valencia,pt,23,Attacker,179,68,5,1,444,0,0,0,0,1.5,79.1,1,0.2,6.67,0.5,0.5,1.3,0.0,0.0,1.3,0.0,0,1.5,1.0,2.2,3.3,0.3,1.5,2.2,24.7,79.1,0.3,0.8,0.2
Gabriel Paulista,LaLiga,Valencia,br,29,Defender,185,72,13,1,1186,0,0,2,0,0.3,89.7,0,2.0,6.64,0.9,1.9,0.5,0.6,4.4,0.4,1.1,0,0.3,0.0,0.1,0.9,0.0,0.1,0.3,49.4,89.7,0.0,3.4,0.0
Daniel Wass,LaLiga,Valencia,dk,30,Defender,181,74,14,1,1267,1,2,3,0,0.7,81.3,0,1.5,6.6,0.9,0.9,0.7,0.1,2.2,1.1,0.2,0,0.7,0.6,0.3,1.0,0.0,0.5,0.7,39.5,81.3,0.1,0.9,0.0
Geoffrey Kondogbia,LaLiga,Valencia,fr,26,Defender,188,80,8,1,663,0,0,3,0,0.6,83.5,0,1.9,6.58,1.9,2.0,1.8,0.0,1.0,0.8,0.6,0,0.6,0.1,0.6,1.3,0.1,0.8,1.6,39.8,83.5,0.0,2.7,0.0
Kevin Gameiro,LaLiga,Valencia,fr,32,Forward,172,70,7,4,638,4,1,0,0,1.1,78.1,1,0.1,6.58,0.6,0.2,0.5,0.0,0.2,0.8,0.0,0,1.1,0.5,0.8,0.4,0.3,0.7,1.6,14.1,78.1,0.0,0.3,0.0
Francis Coquelin,LaLiga,Valencia,fr,28,Midfielder,176,74,11,1,925,0,0,1,1,0.5,90.7,0,0.9,6.57,1.3,1.8,1.0,0.0,1.0,0.8,0.3,0,0.5,0.2,0.9,1.0,0.1,1.5,1.2,41.3,90.7,0.0,3.3,0.0
Mouctar Diakhaby,LaLiga,Valencia,fr,22,Defender,189,78,4,3,415,0,0,1,0,0.0,87.9,0,2.0,6.51,0.3,0.3,1.0,0.4,3.0,0.0,0.3,0,0.0,0.1,0.1,0.9,0.0,0.1,0.3,33.0,87.9,0.1,1.3,0.0
Ezequiel Garay,LaLiga,Valencia,ar,33,Defender,189,90,13,0,1126,0,0,2,0,0.5,88.9,0,1.6,6.5,0.6,0.6,0.6,0.2,4.1,0.2,0.9,0,0.5,0.2,0.0,0.0,0.0,0.0,0.1,54.1,88.9,0.0,2.8,0.0
