name,Edad,Posicion,Altura,Peso,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad,Kmeans_Clusters
Joseba Zaldua,27,Defender,176,70,1253,0,1,5,0,0.3,76.5,0,1.9,1.5,1.1,0.8,0.5,2.2,0.6,0.2,1,0.5,0.6,2.1,0.1,0.3,0.5,39.2,0.9,1.1,0.0,0
Igor Zubeldia,22,Defender,180,79,1292,0,0,3,0,0.5,88.6,0,2.1,1.0,0.7,1.6,0.3,2.9,0.7,0.7,0,0.1,0.8,0.9,0.0,0.5,0.7,58.3,0.0,3.1,0.0,4
Nacho Monreal,33,Defender,179,72,1260,1,0,1,0,0.8,84.1,0,1.5,1.2,1.6,1.5,0.1,2.1,0.6,0.1,0,0.4,0.2,0.4,0.1,0.2,1.0,39.0,0.6,0.9,0.0,0
Raúl García,33,Midfielder,184,83,1384,5,1,6,0,2.4,56.0,2,6.5,1.4,0.6,2.8,0.2,1.4,1.4,0.1,0,0.8,0.3,1.6,0.6,0.4,1.9,28.8,0.2,0.9,0.0,0
Yuri,29,Defender,181,79,1350,2,0,1,0,1.1,82.6,1,1.8,1.6,0.9,1.1,0.4,2.0,0.3,0.1,0,0.5,1.5,1.9,0.0,0.9,1.7,38.3,0.5,2.6,0.1,0
Yeray Álvarez,24,Defender,182,78,1350,0,0,2,0,0.4,79.6,0,3.4,0.9,2.0,0.7,0.7,3.9,0.4,0.5,0,0.1,0.3,1.0,0.0,0.3,0.5,46.4,0.1,3.7,0.0,4
Íñigo Martínez,28,Defender,182,76,1350,0,0,2,0,1.1,79.1,0,3.6,1.1,1.5,0.8,0.7,3.8,0.3,0.4,1,0.3,0.2,1.3,0.1,0.1,0.4,45.4,0.3,6.9,0.0,4
Ander Capa,27,Defender,175,75,1504,1,4,5,0,0.6,74.6,2,1.4,2.1,0.9,1.4,0.1,1.9,1.1,0.2,0,0.7,1.2,0.6,0.2,0.9,1.4,36.1,0.4,1.3,0.0,0
Iñaki Williams,25,Attacker,186,78,1467,4,0,2,0,1.2,74.4,1,1.6,0.3,0.2,0.7,0.0,1.0,0.4,0.0,0,1.0,1.5,1.0,0.6,1.6,2.5,17.2,0.5,0.3,0.0,3
Dani García,29,Defender,180,81,1530,0,0,4,0,0.4,82.3,1,2.1,2.2,1.4,1.5,0.0,1.8,1.6,0.2,0,0.4,0.2,1.2,0.0,0.4,0.3,41.2,0.0,4.5,0.0,0
Unai Simón,22,GoalKeeper,190,88,1440,0,0,2,0,0.0,59.0,1,0.4,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,27.4,0.0,10.4,0.0,2
Daniel Parejo,30,Midfielder,182,74,1350,6,2,3,0,1.4,86.1,4,0.3,1.7,0.8,0.8,0.0,0.5,2.4,0.2,0,1.9,1.3,2.9,0.1,1.2,0.9,64.1,1.9,7.5,0.1,1
Jasper Cillessen,30,GoalKeeper,185,83,1197,0,1,1,0,0.0,56.7,1,0.3,0.0,0.1,0.0,0.0,0.6,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.1,23.3,0.0,4.6,0.0,2
Daniel Wass,30,Defender,181,74,1267,1,2,3,0,0.7,81.3,0,1.5,0.9,0.9,0.7,0.1,2.2,1.1,0.2,0,0.6,0.3,1.0,0.0,0.5,0.7,39.5,0.1,0.9,0.0,0
Víctor Díaz,31,Defender,184,71,1440,0,5,1,0,0.6,69.3,1,1.5,2.2,1.3,0.6,0.2,2.6,0.9,0.6,0,1.1,0.3,0.4,0.1,0.1,0.6,32.8,0.9,2.9,0.0,0
Antonio Puertas,27,Attacker,183,77,1327,4,0,3,0,1.5,75.5,0,1.9,1.2,0.4,1.3,0.1,0.5,0.8,0.1,0,0.4,1.6,1.6,0.1,1.6,2.1,22.2,0.3,0.3,0.0,3
